PLAYER_NAME,total_poss,iso_freq,iso_ppp,iso_total_poss,tr_freq,tr_ppp,tr_total_poss,prb_freq,prb_ppp,prb_total_poss,prr_freq,prr_ppp,prr_total_poss,pu_freq,pu_ppp,pu_total_poss,su_freq,su_ppp,su_total_poss,ho_freq,ho_ppp,ho_total_poss,cut_freq,cut_ppp,cut_total_poss,os_freq,os_ppp,os_total_poss,putback_freq,putback_ppp,putback_total_poss,misc_freq,misc_ppp,misc_total_poss
Robert Williams III,87.4,0.0,0.0,0.0,0.109,0.7,0.4,0.0,0.0,0.0,0.283,1.192,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207,1.632,0.8,0.0,0.0,0.0,0.207,1.105,0.8,0.174,0.25,0.7
Robin Lopez,342.0,0.0,0.0,0.0,0.087,1.233,0.5,0.0,0.0,0.0,0.145,1.2,0.8,0.209,0.931,1.2,0.249,0.93,1.4,0.0,0.0,0.0,0.116,1.05,0.7,0.0,0.0,0.0,0.101,0.857,0.6,0.084,0.345,0.5
Rodions Kurucs,159.89999999999998,0.0,0.0,0.0,0.176,0.969,0.8,0.055,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.363,0.97,1.7,0.0,0.0,0.0,0.148,1.37,0.7,0.0,0.0,0.0,0.055,0.8,0.3,0.06,0.091,0.3
Rodney Hood,168.0,0.119,1.417,1.1,0.144,1.207,1.4,0.124,0.84,1.2,0.0,0.0,0.0,0.114,0.826,1.1,0.337,1.221,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodney McGruder,170.0,0.0,0.0,0.0,0.149,0.786,0.6,0.059,0.727,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.521,0.857,2.0,0.064,1.083,0.2,0.096,0.833,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romeo Langford,64.8,0.0,0.0,0.0,0.205,1.059,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325,0.556,1.0,0.0,0.0,0.0,0.133,0.727,0.4,0.0,0.0,0.0,0.12,1.0,0.4,0.0,0.0,0.0
Rondae Hollis-Jefferson,395.2,0.035,1.214,0.3,0.179,1.028,1.4,0.027,0.727,0.2,0.102,1.049,0.8,0.095,0.947,0.7,0.109,0.659,0.8,0.0,0.0,0.0,0.246,1.061,1.9,0.0,0.0,0.0,0.137,0.982,1.1,0.057,0.391,0.4
Royce O'Neale,358.40000000000003,0.0,0.0,0.0,0.225,1.045,1.4,0.0,0.0,0.0,0.038,0.667,0.2,0.0,0.0,0.0,0.549,1.157,3.4,0.0,0.0,0.0,0.038,1.333,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.37,0.4
Rudy Gay,642.0,0.101,0.625,1.1,0.136,1.058,1.4,0.098,1.194,1.0,0.062,1.077,0.7,0.09,0.754,1.0,0.333,0.938,3.5,0.025,0.875,0.3,0.03,1.421,0.3,0.027,0.941,0.3,0.062,1.077,0.7,0.036,0.522,0.4
Rudy Gobert,799.7999999999998,0.0,0.0,0.0,0.074,1.339,1.0,0.0,0.0,0.0,0.266,1.192,3.4,0.046,0.919,0.6,0.014,0.909,0.2,0.0,0.0,0.0,0.277,1.419,3.6,0.0,0.0,0.0,0.206,1.152,2.7,0.109,0.494,1.4
Rui Hachimura,533.0,0.042,0.87,0.6,0.192,1.19,2.6,0.0,0.0,0.0,0.106,0.931,1.4,0.084,0.804,1.1,0.25,0.832,3.3,0.0,0.0,0.0,0.172,1.191,2.3,0.0,0.0,0.0,0.071,1.359,1.0,0.051,0.464,0.7
Russell Westbrook,1568.8000000000002,0.25,0.883,7.4,0.248,1.023,7.4,0.124,0.934,3.7,0.0,0.0,0.0,0.09,0.803,2.7,0.142,0.884,4.2,0.015,0.875,0.5,0.025,1.077,0.7,0.008,1.154,0.2,0.03,0.958,0.9,0.063,0.68,1.9
Ryan Arcidiacono,255.2,0.0,0.0,0.0,0.206,1.107,1.0,0.221,0.683,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357,1.031,1.7,0.048,1.231,0.2,0.037,1.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.529,0.3
Ryan Broekhoff,37.400000000000006,0.0,0.0,0.0,0.162,1.091,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.412,1.107,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sekou Doumbouya,273.59999999999997,0.038,0.909,0.3,0.188,0.759,1.4,0.045,1.0,0.3,0.0,0.0,0.0,0.038,1.182,0.3,0.413,0.706,3.1,0.035,0.9,0.3,0.122,1.229,0.9,0.0,0.0,0.0,0.038,0.909,0.3,0.038,0.455,0.3
Semi Ojeleye,152.49999999999997,0.0,0.0,0.0,0.148,1.222,0.4,0.0,0.0,0.0,0.066,1.167,0.2,0.0,0.0,0.0,0.503,1.065,1.5,0.0,0.0,0.0,0.071,1.231,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.6,0.2
Serge Ibaka,765.0,0.0,0.0,0.0,0.109,1.417,1.7,0.0,0.0,0.0,0.31,1.008,4.8,0.065,0.92,1.0,0.179,0.812,2.8,0.0,0.0,0.0,0.144,1.171,2.2,0.018,1.5,0.3,0.109,1.25,1.7,0.054,0.214,0.8
Seth Curry,607.6999999999999,0.045,1.0,0.5,0.169,1.286,1.8,0.231,1.028,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.34,1.36,3.6,0.048,1.1,0.5,0.0,0.0,0.0,0.074,0.957,0.8,0.018,1.455,0.2,0.048,0.7,0.5
Shabazz Napier,379.49999999999994,0.056,0.864,0.6,0.152,1.067,1.7,0.418,0.836,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.175,1.174,1.9,0.081,0.563,0.9,0.0,0.0,0.0,0.03,0.167,0.3,0.0,0.0,0.0,0.106,0.5,1.3
Shai Gilgeous-Alexander,1190.7,0.135,0.994,2.6,0.177,1.171,3.3,0.372,0.971,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,1.098,3.6,0.047,0.75,0.9,0.022,1.077,0.4,0.012,0.286,0.2,0.013,0.75,0.3,0.032,1.132,0.6
Shake Milton,262.4,0.0,0.0,0.0,0.205,1.211,1.8,0.23,0.875,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331,1.185,2.9,0.079,0.909,0.7,0.036,1.8,0.3,0.058,0.813,0.5,0.0,0.0,0.0,0.0,0.0,0.0
