PLAYER_NAME,TEAM_NAME,total_poss,iso_freq,iso_ppp,iso_total_poss,tr_freq,tr_ppp,tr_total_poss,prb_freq,prb_ppp,prb_total_poss,prr_freq,prr_ppp,prr_total_poss,pu_freq,pu_ppp,pu_total_poss,su_freq,su_ppp,su_total_poss,ho_freq,ho_ppp,ho_total_poss,cut_freq,cut_ppp,cut_total_poss,os_freq,os_ppp,os_total_poss,putback_freq,putback_ppp,putback_total_poss,misc_freq,misc_ppp,misc_total_poss
Kevin Durant,Oklahoma City Thunder,1828.8,0.149,0.989,3.8,0.151,1.318,3.8,0.19,0.934,4.8,0.055,1.08,1.4,0.081,1.235,2.1,0.11,1.129,2.8,0.022,1.25,0.6,0.04,1.493,1,0.141,0.973,3.6,0.013,1.174,0.3,0.048,0.851,1.2
Kevin Garnett,Minnesota Timberwolves,125.4,0,0,0,0.093,1.077,0.3,0,0,0,0.2,1.214,0.7,0.186,0.923,0.7,0.257,0.833,0.9,0,0,0,0.093,0.846,0.3,0,0,0,0,0,0,0.121,0.235,0.4
Kevin Love,Cleveland Cavaliers,1255.1,0.033,0.929,0.5,0.09,1.096,1.5,0,0,0,0.153,0.953,2.5,0.246,0.981,4,0.263,1.063,4.3,0.015,0.737,0.2,0.043,1.019,0.7,0.046,1.034,0.8,0.056,0.887,0.9,0.052,0.394,0.9
Kevin Martin,Minnesota Timberwolves,436.8,0.131,0.93,1.5,0.154,1.239,1.7,0.154,0.657,1.7,0,0,0,0.041,0.778,0.5,0.149,0.862,1.7,0.053,0.696,0.6,0.046,1.35,0.5,0.22,1,2.5,0,0,0,0.044,0.895,0.5
Kevin Seraphin,New York Knicks,259.7,0.054,0.857,0.3,0.058,0.8,0.3,0,0,0,0.136,0.857,0.7,0.434,0.625,2.3,0.07,0.667,0.4,0,0,0,0.109,1.107,0.6,0,0,0,0.047,1,0.2,0.089,0.261,0.5
Khris Middleton,Milwaukee Bucks,1445.7,0.111,0.963,2,0.136,1.245,2.5,0.18,0.782,3.3,0.017,0.84,0.3,0.081,0.855,1.5,0.164,1.059,3,0.103,1.047,1.9,0.021,0.933,0.4,0.118,0.977,2.2,0.013,0.579,0.2,0.055,0.837,1
Kirk Hinrich,Chicago Bulls,136.5,0,0,0,0.205,1.194,0.9,0.278,0.738,1.2,0,0,0,0,0,0,0.252,0.816,1.1,0.086,1.308,0.4,0,0,0,0,0,0,0,0,0,0.079,0.083,0.3
Klay Thompson,Golden State Warriors,1600,0.05,0.802,1,0.175,1.24,3.5,0.071,0.93,1.4,0.009,0.714,0.2,0.037,0.797,0.7,0.17,1.178,3.4,0.036,1.207,0.7,0.084,1.221,1.7,0.31,1.054,6.3,0.012,1.211,0.2,0.045,0.89,0.9
Kobe Bryant,Los Angeles Lakers,1353,0.199,0.712,4,0.096,0.984,2,0.21,0.836,4.3,0.009,0.833,0.2,0.136,0.852,2.8,0.127,0.982,2.6,0.069,0.763,1.4,0.018,0.958,0.4,0.072,0.959,1.5,0.019,1.115,0.4,0.044,0.525,0.9
Kosta Koufos,Sacramento Kings,522.6,0,0,0,0.078,1.071,0.5,0,0,0,0.21,0.991,1.4,0.132,0.718,0.9,0,0,0,0,0,0,0.327,1.142,2.3,0,0,0,0.171,1.174,1.2,0.056,0.2,0.4
